fajl,godina,mjesec_kraja,zemlja,dolasci,nocenja,struktura_%,prosjecan_boravak
TUR_02_2021_12.pdf,2021,12,Hoteli i sličan smještaj,437949.0,931138.0,,
TUR_02_2021_12.pdf,2021,12,Odmarališta i slični objekti za kraći odmor,16539.0,35181.0,,
TUR_02_2021_12.pdf,2021,12,Kampovi i prostori za kampiranje,2125.0,2705.0,,
TUR_02_2021_12.pdf,2021,12,Ostali smještaj,6296.0,74122.0,,
TUR_02_2021_12.pdf,2021,12,Hoteli i sličan smještaj,480898.0,1144736.0,,
TUR_02_2021_12.pdf,2021,12,Odmarališta i slični objekti za kraći odmor,8111.0,26523.0,,
TUR_02_2021_12.pdf,2021,12,Kampovi i prostori za kampiranje,8123.0,14382.0,,
TUR_02_2021_12.pdf,2021,12,Ostali smještaj,342.0,2133.0,,
TUR_02_2022_12.pdf,2022,12,Albanija,3520.0,6894.0,0.3,2.0
TUR_02_2022_12.pdf,2022,12,Austrija,29232.0,59166.0,3.0,2.0
TUR_02_2022_12.pdf,2022,12,Belgija,5874.0,12716.0,0.6,2.2
TUR_02_2022_12.pdf,2022,12,Bugarska,5552.0,10639.0,0.5,1.9
TUR_02_2022_12.pdf,2022,12,Crna Gora,25102.0,52424.0,2.6,2.1
TUR_02_2022_12.pdf,2022,12,Češka,6752.0,13147.0,0.7,1.9
TUR_02_2022_12.pdf,2022,12,Danska,5637.0,14762.0,0.7,2.6
TUR_02_2022_12.pdf,2022,12,Estonija,458.0,779.0,0.0,1.7
TUR_02_2022_12.pdf,2022,12,Finska,1412.0,3236.0,0.2,2.3
TUR_02_2022_12.pdf,2022,12,Francuska,15998.0,48359.0,2.4,3.0
TUR_02_2022_12.pdf,2022,12,Grčka,4744.0,10123.0,0.5,2.1
TUR_02_2022_12.pdf,2022,12,Nizozemska/Holandija,17227.0,41947.0,2.1,2.4
TUR_02_2022_12.pdf,2022,12,Hrvatska,128778.0,282696.0,14.2,2.2
TUR_02_2022_12.pdf,2022,12,Irska,3133.0,10376.0,0.5,3.3
